TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
27;true;5;true;on ;low ;false;
53;true;10;true;off ;high ;false;REQ001REQ011REQ002
100;true;2;true;on ;low ;false;REQ004REQ003REQ010
149;false;6;false;on ;low ;false;
169;false;9;false;off ;permitted ;false;REQ001REQ011
203;true;10;false;off ;high ;false;REQ002
252;false;4;false;on ;low ;false;REQ004REQ003REQ010
300;false;4;true;on ;low ;false;
333;false;9;true;off ;permitted ;false;REQ001REQ011
348;false;8;true;on ;low ;false;REQ003REQ010
382;false;10;false;off ;high ;false;REQ001REQ011REQ002
404;false;1;false;on ;low ;false;REQ004REQ003REQ010
455;true;2;true;on ;low ;false;
466;false;1;true;on ;low ;false;
517;false;4;true;on ;low ;false;
564;false;1;true;on ;low ;false;
590;true;8;false;off ;low ;true;REQ005REQ009
602;false;3;true;on ;low ;false;REQ006REQ010
626;false;1;true;on ;low ;false;
669;true;6;true;on ;low ;false;
681;true;9;false;off ;permitted ;false;REQ001REQ011
705;false;0;false;on ;low ;false;REQ003REQ010
734;true;1;false;off ;low ;true;REQ005REQ009
772;true;1;true;on ;low ;false;REQ006REQ010
816;true;11;false;off ;high ;false;REQ001REQ011REQ002
864;false;2;false;on ;low ;false;REQ004REQ003REQ010
879;true;1;false;off ;low ;true;REQ005REQ009
924;true;11;false;off ;high ;false;REQ001REQ002REQ008
965;true;3;true;on ;low ;false;REQ004REQ003REQ010
1009;false;10;true;off ;high ;false;REQ001REQ002REQ011
1057;false;6;true;on ;low ;false;REQ004REQ003REQ010
1085;true;7;false;off ;low ;true;REQ005REQ009
1100;false;4;false;off ;low ;true;
1122;true;10;true;off ;high ;false;REQ006REQ010REQ001REQ002REQ011
1155;true;0;true;on ;low ;false;REQ004REQ003REQ010
1173;true;1;true;on ;low ;false;
