TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
40;false;true;false;false;5;REQ007
53;true;false;true;true;4;REQ005
67;false;true;false;true;5;REQ007
111;false;false;true;false;2;REQ003
149;true;false;true;false;4;REQ005
161;false;false;true;true;0;REQ001
201;true;false;true;true;4;REQ005
216;true;true;false;true;4;REQ006
237;true;true;true;true;4;
258;true;false;true;false;4;REQ005
283;false;false;false;false;3;REQ004
318;true;false;true;true;4;REQ005
360;true;false;false;false;4;REQ005
398;false;false;false;false;3;REQ004
413;false;false;true;true;0;REQ001
441;true;true;true;true;0;
455;true;false;true;true;4;REQ005
496;false;true;false;false;5;REQ007
531;true;true;true;true;5;REQ008
553;true;false;true;false;4;REQ005
602;false;true;true;true;5;REQ007
652;true;true;false;false;5;REQ008
678;true;true;true;true;5;
701;true;false;false;false;4;REQ005
747;true;false;true;false;4;REQ005
