TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
228;1;2;81;0;0;REQ012REQ004
449;1;1;80;2;1;REQ013REQ001
723;1;0;79;2;0;REQ015
1025;1;0;79;2;0;
1341;0;0;81;0;0;REQ009REQ004
1604;1;1;79;2;0;REQ012REQ001
1943;0;0;80;2;0;
2170;0;0;81;0;0;REQ004
2488;1;2;81;0;0;REQ012
2791;1;1;80;2;1;REQ013REQ001
3125;0;2;80;2;3;REQ011
3402;0;1;81;1;1;REQ003REQ010REQ002
3689;1;2;80;2;0;REQ012REQ001
3930;1;1;79;2;1;REQ013
4214;1;2;81;3;3;REQ007REQ014REQ003
4554;0;2;80;2;3;REQ001
4844;0;1;81;1;1;REQ003REQ010REQ002
5106;1;1;80;2;0;REQ001REQ012
5424;1;0;79;2;0;
5731;1;2;79;2;3;REQ014
6025;1;2;79;2;3;
6348;1;2;80;2;3;
6626;0;0;80;2;3;
6907;0;2;81;3;3;REQ011REQ003
7210;0;1;79;2;1;REQ001REQ010
