TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;true;false;1;0;
5;false;false;1;0;
7;false;false;1;0;
9;false;true;0;0;REQ001
11;true;true;0;0;
14;false;false;0;0;
16;false;true;0;0;
18;true;false;0;0;
21;true;false;0;0;
24;false;true;0;0;
26;false;true;0;0;
29;false;true;0;0;
32;true;false;0;0;
35;true;false;0;0;
37;true;true;0;0;
40;true;false;0;0;
42;true;false;0;0;
44;false;false;0;0;
46;true;false;2;0;REQ003
48;false;false;2;0;
50;false;true;2;0;
53;false;true;2;0;
55;false;true;2;0;
57;false;false;2;0;
59;true;true;2;0;
61;false;true;2;0;
63;false;false;2;0;
65;false;false;2;0;
68;false;true;2;0;
71;false;true;2;0;
74;false;true;2;0;
77;false;false;1;0;REQ005
